Well,Sample ID,Time (Minutes),RFUs,Gain Setting,Chromatic Settings,Expression Product,Amplicon DNA Template,Energy Solution,Experiment #,Lysate_First,Reaction Type,Replicate,System,lysate_aspirate_height_inc,lysate_aspirate_height_init,substrates_aspirate_height_inc,substrates_aspirate_height_init,wax_air_gap,wax_dispense_height,wax_dispense_volume,wax_disposal_volume,wax_new_tip,wax_touch_tip,Reaction Temperature (°C),Performed by,Instrument,Plate Reader Run #,Assay Date
B09,Sample X4,2,2865,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,4,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B11,Sample X5,2,3005,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,5,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B13,Sample X6,2,3074,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,6,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B15,Sample X7,2,2994,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,7,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B17,Sample X8,2,2840,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,8,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B19,Sample X9,2,2926,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,9,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B21,Sample X10,2,2722,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,10,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D03,Sample X11,2,2988,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,1,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D05,Sample X12,2,2975,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,2,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D07,Sample X13,2,2958,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,3,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D09,Sample X14,2,2931,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,4,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D11,Sample X15,2,2930,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,5,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D13,Sample X16,2,3041,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,6,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D15,Sample X17,2,2943,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,7,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D17,Sample X18,2,3101,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,8,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D19,Sample X19,2,3170,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,9,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
D21,Sample X20,2,3064,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,10,False,TXTL,10,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B03,Sample X1,4,2858,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,1,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B05,Sample X2,4,3719,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,2,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B07,Sample X3,4,2934,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,3,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B09,Sample X4,4,2827,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,4,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B11,Sample X5,4,2952,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,5,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
B13,Sample X6,4,3042,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,9,True,TXTL,6,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-28
