Well,Sample ID,Time (Minutes),RFUs,Gain Setting,Chromatic Settings,Expression Product,Amplicon DNA Template,Energy Solution,Experiment #,Reaction Type,Replicate,System,lysate_aspirate_height_inc,lysate_aspirate_height_init,substrates_aspirate_height_inc,substrates_aspirate_height_init,wax_air_gap,wax_dispense_height,wax_dispense_volume,wax_disposal_volume,wax_new_tip,wax_touch_tip,Reaction Temperature (°C),Performed by,Instrument,Plate Reader Run #,Assay Date
D11,Sample X15,232,5583,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,5,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D13,Sample X16,232,6978,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,6,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D15,Sample X17,232,7219,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,7,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D17,Sample X18,232,5732,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,8,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D19,Sample X19,232,3991,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,9,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D21,Sample X20,232,8544,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,10,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B03,Sample X1,234,14979,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,1,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B05,Sample X2,234,13506,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,2,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B07,Sample X3,234,14239,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,3,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B09,Sample X4,234,14355,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,4,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B11,Sample X5,234,16266,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,5,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B13,Sample X6,234,12713,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,6,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B15,Sample X7,234,13022,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,7,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B17,Sample X8,234,11066,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,8,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B19,Sample X9,234,9948,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,9,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B21,Sample X10,234,12660,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,10,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D03,Sample X11,234,6136,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,1,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D05,Sample X12,234,6009,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,2,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D07,Sample X13,234,6261,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,3,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D09,Sample X14,234,5889,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,4,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D11,Sample X15,234,5602,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,5,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D13,Sample X16,234,7023,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,6,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D15,Sample X17,234,7206,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,7,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D17,Sample X18,234,5781,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,8,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D19,Sample X19,234,3977,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,9,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D21,Sample X20,234,8595,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,10,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B03,Sample X1,236,15018,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,1,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B05,Sample X2,236,13460,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,2,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B07,Sample X3,236,14442,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,3,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B09,Sample X4,236,14391,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,4,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B11,Sample X5,236,16325,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,5,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B13,Sample X6,236,12774,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,6,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B15,Sample X7,236,13035,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,7,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B17,Sample X8,236,11071,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,8,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B19,Sample X9,236,9967,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,9,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B21,Sample X10,236,12774,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,10,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D03,Sample X11,236,6144,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,1,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D05,Sample X12,236,6052,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,2,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D07,Sample X13,236,6270,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,3,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D09,Sample X14,236,5855,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,4,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D11,Sample X15,236,5659,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,5,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D13,Sample X16,236,7092,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,6,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D15,Sample X17,236,7279,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,7,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D17,Sample X18,236,5775,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,8,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D19,Sample X19,236,3974,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,9,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D21,Sample X20,236,8580,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,10,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B03,Sample X1,238,15148,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,1,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B05,Sample X2,238,13675,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,2,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B07,Sample X3,238,14488,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,3,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B09,Sample X4,238,14489,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,4,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B11,Sample X5,238,16377,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,5,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B13,Sample X6,238,12841,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,6,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B15,Sample X7,238,13196,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,7,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B17,Sample X8,238,11195,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,8,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B19,Sample X9,238,10057,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,9,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B21,Sample X10,238,12783,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,10,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D03,Sample X11,238,6157,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,1,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D05,Sample X12,238,6103,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,2,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D07,Sample X13,238,6295,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,3,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D09,Sample X14,238,5917,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,4,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D11,Sample X15,238,5626,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,5,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D13,Sample X16,238,7086,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,6,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D15,Sample X17,238,7280,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,7,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D17,Sample X18,238,5776,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,8,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D19,Sample X19,238,3957,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,9,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D21,Sample X20,238,8659,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,10,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B03,Sample X1,240,15284,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,1,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B05,Sample X2,240,13699,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,2,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B07,Sample X3,240,14549,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,3,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B09,Sample X4,240,14559,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,4,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B11,Sample X5,240,16541,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,5,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B13,Sample X6,240,12892,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,6,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B15,Sample X7,240,13152,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,7,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B17,Sample X8,240,11178,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,8,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B19,Sample X9,240,10067,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,9,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B21,Sample X10,240,12932,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,10,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D03,Sample X11,240,6123,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,1,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D05,Sample X12,240,6064,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,2,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D07,Sample X13,240,6285,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,3,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D09,Sample X14,240,5913,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,4,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D11,Sample X15,240,5724,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,5,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D13,Sample X16,240,7162,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,6,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D15,Sample X17,240,7303,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,7,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D17,Sample X18,240,5783,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,8,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D19,Sample X19,240,4010,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,9,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D21,Sample X20,240,8669,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,10,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B03,Sample X1,242,15349,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,1,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B05,Sample X2,242,13835,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,2,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B07,Sample X3,242,14689,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,3,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B09,Sample X4,242,14652,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,4,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B11,Sample X5,242,16618,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,5,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B13,Sample X6,242,12911,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,6,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B15,Sample X7,242,13285,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,7,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B17,Sample X8,242,11289,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,8,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B19,Sample X9,242,10173,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,9,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B21,Sample X10,242,12894,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,10,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D03,Sample X11,242,6169,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,1,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D05,Sample X12,242,6129,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,2,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D07,Sample X13,242,6353,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,3,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D09,Sample X14,242,5952,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,4,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D11,Sample X15,242,5691,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,5,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D13,Sample X16,242,7117,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,6,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D15,Sample X17,242,7291,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,7,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D17,Sample X18,242,5822,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,8,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D19,Sample X19,242,3990,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,9,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
D21,Sample X20,242,8657,1500,485_520_2,GFP,s70_deGFP_MGA,Michael_ES_001,8,TXTL,10,Michael_Lysate_001,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B03,Sample X1,244,15411,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,1,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B05,Sample X2,244,13889,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,2,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
B07,Sample X3,244,14784,1500,485_520_2,GFP,s70_deGFP_MGA,AP_ES_004,7,TXTL,3,AP_Lysate_004,0.4,4.5,0.6,8.6,20,-3,35,30,never,False,37,AP & MJS,BMG POLARstar Omega,6,2022-06-21
