Well,Sample ID,Time (Minutes),RFUs,Gain Setting,Chromatic Settings,Expression Product,Amplicon DNA Template,Energy Solution,Reaction Type,Replicate,System,Reaction Temperature (°C),Performed by,Instrument,Experiment #,lysate_aspirate_height_init,lysate_aspirate_height_inc,substrates_aspirate_height_init,substrates_aspirate_height_inc,wax_dispense_volume,wax_dispense_height,wax_new_tip,wax_touch_tip,wax_air_gap,wax_disposal_volume,Assay Date
J05,Sample X2,4,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J07,Sample X3,4,75,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J09,Sample X4,4,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J11,Sample X5,4,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J13,Sample X6,4,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J15,Sample X7,4,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J17,Sample X8,4,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J19,Sample X9,4,70,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J21,Sample X10,4,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J03,Sample X1,6,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J05,Sample X2,6,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J07,Sample X3,6,75,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J09,Sample X4,6,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J11,Sample X5,6,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J13,Sample X6,6,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J15,Sample X7,6,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J17,Sample X8,6,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J19,Sample X9,6,70,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J21,Sample X10,6,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J03,Sample X1,8,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J05,Sample X2,8,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J07,Sample X3,8,76,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J09,Sample X4,8,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J11,Sample X5,8,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J13,Sample X6,8,75,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J15,Sample X7,8,69,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J17,Sample X8,8,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J19,Sample X9,8,70,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J21,Sample X10,8,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J03,Sample X1,10,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J05,Sample X2,10,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J07,Sample X3,10,75,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J09,Sample X4,10,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J11,Sample X5,10,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J13,Sample X6,10,75,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J15,Sample X7,10,70,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J17,Sample X8,10,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J19,Sample X9,10,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J21,Sample X10,10,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J03,Sample X1,12,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J05,Sample X2,12,75,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J07,Sample X3,12,77,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J09,Sample X4,12,75,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J11,Sample X5,12,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J13,Sample X6,12,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J15,Sample X7,12,69,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J17,Sample X8,12,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J19,Sample X9,12,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J21,Sample X10,12,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J03,Sample X1,14,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J05,Sample X2,14,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J07,Sample X3,14,75,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J09,Sample X4,14,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J11,Sample X5,14,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J13,Sample X6,14,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J15,Sample X7,14,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J17,Sample X8,14,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J19,Sample X9,14,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J21,Sample X10,14,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J03,Sample X1,16,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J05,Sample X2,16,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J07,Sample X3,16,75,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J09,Sample X4,16,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J11,Sample X5,16,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J13,Sample X6,16,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J15,Sample X7,16,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J17,Sample X8,16,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J19,Sample X9,16,70,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J21,Sample X10,16,70,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J03,Sample X1,18,70,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J05,Sample X2,18,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J07,Sample X3,18,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J09,Sample X4,18,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J11,Sample X5,18,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J13,Sample X6,18,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J15,Sample X7,18,70,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J17,Sample X8,18,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J19,Sample X9,18,69,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J21,Sample X10,18,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J03,Sample X1,20,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J05,Sample X2,20,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J07,Sample X3,20,77,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,3,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J09,Sample X4,20,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,4,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J11,Sample X5,20,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,5,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J13,Sample X6,20,72,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,6,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J15,Sample X7,20,70,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,7,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J17,Sample X8,20,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,8,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J19,Sample X9,20,70,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,9,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J21,Sample X10,20,71,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,10,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J03,Sample X1,22,73,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,1,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
J05,Sample X2,22,74,800,485_520,GFP,s70_deGFP_MGA,Michael_ES_001,TXTL,2,Michael_Lysate_001,37,AP & MJS,BMG POLARstar Omega,4,4.5,0.4,8.6,0.4,35,-3,never,False,20,30,2022-07-06
